datafile,description
0723.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=BRC;CCNE1 amp;MYC amp;TERT amp;TP53 trunc
0725.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=DDT;MYC amp;PIK3CA amp;SOX2 amp;RB1 trunc
0727.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=PYRGO;BRD4 amp;CCNE1 amp;ERBB3 amp;PIK3CA amp;SOX2 amp;TERT amp;TP53 trunc;TP53 hetdel & mis
0744.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=BRC;EGFR amp;FGFR3 amp;CDKN2A homdel
0745.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=DM;CIITA mut;EGFR mut;EGFR amp;CDKN2A homdel
0751.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=PYRGO;PAX3 mut;CCNE1 amp;CDK4 amp;FGFR1 amp;MDM4 amp;MYC amp;PIK3CA amp;SOX2 amp;TP53 trunc;BRCA2 germline pathogenic
DO234201.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BRD;ARHGAP26 mut;CREBBP mut;NRG1 mut;BRD4 amp;MAP2K2 amp;MDM2 amp;TET1 amp;CDKN2A homdel
0877.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=DM;ERBB2 mut;EGFR amp;CDKN2A homdel
0881.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=QUIET;EGFR mut;EGFR amp
0890.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=DDT;BRCA2 trunc
0906.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=CHROMOTHRIPSIS;JAK2 mut;ALK amp;KRAS amp;MAP2K1 amp;MYC amp;MYCN amp;NOTCH1 amp;NTRK3 amp;PIK3CA amp;SOX2 amp;RB1 trunc;FANCA hetdel & mis;GRIN2A hetdel & mis;MLH1 hetdel & mis;TP53 hetdel & mis;NF1 homdel;STAG2 homdel
0912.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=BFB;KMT2A mut;AKT1 amp;CCND2 amp;KRAS amp
0934.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=CHROMOPLEXY;KMT2A mut;ERBB2 amp;MYC amp;PIK3CA amp;SOX2 amp
0937.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=DDT;PRKAR1A mut;AKT1 amp;MYC amp;TERT amp;AXIN1 hetdel & mis;TP53 hetdel & mis
0938.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=BRD;NUP98 mut;PML mut;BRD4 amp;CCND1 amp;CCND2 amp;CCNE1 amp;HRAS amp;MAP2K1 amp;MDM4 amp;MYC amp;NTRK1 amp;KDM6A homdel
DO234321.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BRD;BCL11B mut;ETV6 mut;STAT3 mut;CCND3 amp;CCNE1 amp;CDK6 amp;ERBB2 amp;MAP2K1 amp;NOTCH1 amp;PIK3R1 trunc;CDKN2A homdel
0980.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=RT;NSD1 mut;MYC amp;TP53 trunc;RB1 homdel
0982.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=PYRGO;NOTCH1 mut;BRD4 amp;CCNE1 amp;PIK3CA amp;SOX2 amp;NOTCH1 hetdel & mis;TP53 hetdel & mis
DO234325.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BR;ITK mut;MUC1 mut;CDK6 amp;PIK3CA amp;SOX2 amp;ARID1A trunc;RNF43 trunc;SMAD4 germline pathogenic;SMAD4 hetdel & mis;TP53 hetdel & mis
DO50315.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=female;cluster=PYRGO;AKT2 amp;CCND3 amp;FGFR2 amp;HRAS amp;MDM4 amp;MYB amp;NOTCH1 amp;NTRK1 amp;TERT amp;TET1 amp;FBXW7 trunc;CDK12 homdel;CDKN2A homdel;NF1 homdel;SMAD4 homdel
DO234450.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BRC;MITF mut;AKT2 amp;ALK amp;CCND2 amp;CCNE1 amp;KRAS amp;MAP2K1 amp;MYCL amp;MYCN amp;NTRK3 amp;TP53 hetdel & mis;CDKN2A homdel;SMAD4 homdel
DO10841.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BFB;MYC amp;PIK3CA amp;SOX2 amp;ARID1A trunc;MUTYH germline pathogenic;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
DO234301.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=female;cluster=INVDUP;KRAS mut;BRAF amp;CDK4 amp;CDK6 amp;EGFR amp;ERBB3 amp;MDM2 amp;MET amp;SMAD4 hetdel & mis;CDKN2A homdel
DO50334.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=TYFONAS;PAX7 mut;AKT2 amp;CCND3 amp;CCNE1 amp;CDK6 amp;EGFR amp;MYC amp;TERT amp;TP53 hetdel & mis;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
DO50345.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BR;CCND2 amp;CCND3 amp;CDK6 amp;HRAS amp;MDM2 amp;TET1 amp;ERCC3 trunc;AMER1 homdel;ATRX homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;ZRSR2 homdel
DO234416.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BR;MLLT4 mut;RSPO3 mut;CCND3 amp;MYB amp;APC trunc
DO234312.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BRD;KAT6A mut;NOTCH1 mut;CCND1 amp;EGFR amp;ERBB2 amp;MYB amp;MYC amp;TP53 hetdel & mis
DO234209.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=INVDUP;ABI1 mut;PTPRK mut;APC trunc;TP53 hetdel & mis
DO234396.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BRC;GNAS mut;MYO5A mut;NRG1 mut;CCND1 amp;CDK6 amp;CTNNB1 amp;EGFR amp;MITF amp;TET1 amp;SMAD4 trunc;TP53 trunc;AMER1 homdel;ATRX homdel;BCOR homdel;PHF6 homdel;STAG2 homdel
1005_T1_31_24097.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=INV;GNAS mut;NRG1 mut;PML mut;BAP1 germline pathogenic;CDKN2A homdel
1005_T1_27_24100.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=INV;ERBB3 mut;GNAS mut;PPP6C mut;ARID1A trunc;BAP1 germline pathogenic;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
1005_T2_25_24106.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=INV;EWSR1 mut;GNAS mut;TCF7L2 mut;MYC amp;ARID1A trunc;BAP1 germline pathogenic;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
1005_T2_30_25105.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=INV;ERBB3 mut;GNAS mut;BAP1 germline pathogenic;CDKN2A homdel
1016.json,tumor_type=LUSC;dataset=TCGA;organ=Lung;lineage=Squamous bronchial epithelium;cluster=BR;CIITA mut;MYH9 mut;NUP98 mut;PPP2R1A mut;RANBP17 mut;AKT1 amp;ALK amp;CCND1 amp;CCND3 amp;CDK4 amp;ERBB3 amp;FGFR3 amp;JUN amp;MDM2 amp;MDM4 amp;MYCL amp;MYCN amp;NOTCH2 amp;NRAS amp;NTRK1 amp;PIK3CA amp;SOX2 amp;TERT amp;TET1 amp;CNOT3 trunc;ERCC3 trunc;KMT2D trunc;NOTCH1 trunc;TP53 hetdel & mis;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
1034.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=TRANSLOCATION;EGFR mut;TP53 hetdel & mis
1047_T1_32_24271.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=SPARSE;ARID2 trunc;ERCC5 trunc;CDKN2A homdel
1047_T1_28_24274.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=SPARSE;ARID1A trunc;CDKN2A homdel
1047_T2_30_24277.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=SPARSE;CDKN2A homdel
1047_T2_28_24280.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=SPARSE;CDKN2A homdel
1063.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=DM;EGFR mut;EGFR amp;TET2 trunc;CDKN2A homdel
1076.json,tumor_type=LUSC;dataset=TCGA;organ=Lung;lineage=Squamous bronchial epithelium;cluster=TRANSLOCATION;EZH2 mut;AKT2 amp;CCNE1 amp;NF1 trunc
1078.json,tumor_type=LUSC;dataset=TCGA;organ=Lung;lineage=Squamous bronchial epithelium;cluster=SPARSE;CREBBP mut;KRAS mut;PIK3CA mut;ARID1A trunc;KMT2C trunc;CDKN2A homdel
1082.json,tumor_type=LUSC;dataset=TCGA;organ=Lung;lineage=Squamous bronchial epithelium;cluster=CHROMOPLEXY;CREBBP mut;PTPRC mut;RET mut;SOX2 amp;ARID1B trunc;RB1 homdel
1083.json,tumor_type=LUSC;dataset=TCGA;organ=Lung;lineage=Squamous bronchial epithelium;cluster=CHROMOPLEXY;AKT2 mut;ALK mut;FGFR2 mut;FOXL2 mut;MYCN mut;NOTCH1 mut;STAT3 mut;STAT5B mut;CDK4 amp;ERBB3 amp;PIK3CA amp;SOX2 amp;TET1 amp;BRCA1 trunc;COL2A1 trunc;KMT2D trunc;BCOR hetdel & mis;KDM5C hetdel & mis;KDM6A hetdel & mis;KMT2D hetdel & mis;NOTCH1 hetdel & mis;TP53 hetdel & mis
1086.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=RT;AKT2 amp;BRD4 amp;CCNE1 amp;MAP2K2 amp;CDKN2A homdel
1103.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=DDT;MYC amp;TERT amp;BRCA1 germline pathogenic;BRCA2 hetdel & mis;NF1 homdel
1110.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=CHROMOPLEXY;FGFR4 mut;PTPRK mut;AKT2 amp;JAK2 amp;MYC amp;MYCN amp;PIK3CA amp;ROS1 amp;TP53 hetdel & mis;APC homdel;RB1 homdel
1118.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=DDT;KDM5A mut;BRCA1 germline pathogenic;TP53 hetdel & mis
1124.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=DDT;MYH11 mut;BRAF amp;BRD4 amp;CCND2 amp;CDK6 amp;FGFR3 amp;JAK2 amp;MYC amp;MYCL amp;NTRK3 amp;TERT amp;TP53 hetdel & mis
DO234244.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BFB;BRAF amp;CDK6 amp;EGFR amp;ERBB2 amp;MET amp;MYC amp;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
126_T3_31_24343.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;CDKN2A homdel
126_T1_31_24346.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;ALK mut;CDKN2A homdel
126_T1_33_24349.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;CDKN2A homdel
126_T2_30_24352.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;CDKN2A homdel
126_T2_32_24355.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;CDKN2A homdel
126_T3_31_24631.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=RT;CDKN2A homdel
130_T1_34_24295.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=SPARSE;CDKN2A homdel
130_T1_36_24298.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=SPARSE;PTPRC mut;CDKN2A homdel
130_T2_34_24301.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=SPARSE;PTPRC mut;CDKN2A homdel
130_T2_33_24304.json,tumor_type=BE;dataset=BARRETTS;organ=Esophagus;lineage=Esophageal columnar epithelium;cluster=SPARSE;PTPRC mut;CDKN2A homdel
1319.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=TYFONAS;STAT6 mut;BRD4 amp;CCNE1 amp;ERBB3 amp;MYC amp;MYCL amp;TERT amp;TP53 hetdel & mis
1331.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=CHROMOTHRIPSIS;BRCA2 trunc;TP53 trunc;PTEN homdel;RB1 homdel
1347.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=INVDUP;SH2B3 mut;CDK6 amp;MDM4 amp;MYCN amp;NOTCH2 amp;NRAS amp;NTRK1 amp;PIK3CA amp;SOX2 amp;TP53 hetdel & mis;STAG2 homdel
1349.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=CHROMOTHRIPSIS;BRD4 amp;FGFR1 amp;MYC amp;PIK3CA amp;SOX2 amp;TP53 hetdel & mis
1367.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=BR;CARD11 mut;NF1 trunc;BRCA2 germline pathogenic;CIC hetdel & mis;TP53 hetdel & mis
1371.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=BFB;FLT3 mut;BRD4 amp;CDK4 amp;ERBB3 amp
1389.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=CHROMOPLEXY;PIM1 mut;NF1 hetdel & mis;AMER1 homdel;ATRX homdel;BCOR homdel;CDKN2A homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;PTEN homdel;RB1 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
DO234185.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=BR;FLT4 mut;KDR mut;NRG1 mut;CDK6 amp;FGFR1 amp;KRAS amp;MYC amp;TP53 hetdel & mis;ARID1B homdel
1401.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=QUIET;EGFR mut;EGFR amp
1402.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=CHROMOTHRIPSIS;CREBBP mut;EGFR mut;FLT3 mut;CDK6 amp;EGFR amp;PTEN hetdel & mis;CDKN2A homdel
1411.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=TRANSLOCATION;AKT2 amp;BRAF amp;CCND1 amp;CCND2 amp;CCNE1 amp;KRAS amp;MET amp;SMARCB1 hetdel & mis;TP53 hetdel & mis
1419.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=BFB;MAFB mut;AKT1 amp;TP53 hetdel & mis
DO50441.json,tumor_type=ESAD;dataset=ESAD-UK;organ=Esophagus;lineage=Esophageal columnar epithelium;gender=male;cluster=PYRGO;AKT2 amp;CCND2 amp;EGFR amp;ERBB2 amp;KRAS amp;MYB amp;MYC amp;NOTCH2 amp;NTRK1 amp;NTRK3 amp;TP53 trunc;WRN germline pathogenic;AMER1 homdel;ATRX homdel;BCOR homdel;KDM5C homdel;KDM6A homdel;PHF6 homdel;SMAD4 homdel;STAG2 homdel;WAS homdel;ZRSR2 homdel
1438.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=DM;BRAF amp;CDK4 amp;CDK6 amp;MDM2 amp;MET amp;RB1 trunc
1454.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=SPARSE;MDM4 amp;NTRK1 amp;POLE trunc;PTEN trunc
1459.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=CHROMOTHRIPSIS;EGFR mut;MDM4 amp;CDKN2A homdel;PTEN homdel
1460.json,tumor_type=GBM;dataset=TCGA;organ=Brain;lineage=Glial;cluster=RT;IDH1 mut;ATRX trunc
1466.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=PYRGO;FLT4 mut;HIST1H3B mut;NDRG1 mut;PIK3CA mut;CCND1 amp;CCND2 amp;CCNE1 amp;ERBB3 amp;FGFR1 amp;FGFR4 amp;KDR amp;KIT amp;MDM2 amp;MDM4 amp;MYC amp;NOTCH2 amp;NRAS amp;PDGFRA amp;CDK12 hetdel & mis;TP53 hetdel & mis
1477.json,tumor_type=OV;dataset=TCGA;organ=Ovary;lineage=Ovarian epithelium;cluster=RT;
